ID,Age,Experience_Years,Gender,Salary
169,24,6,Female,793377
170,44,12,Female,1293919
171,26,8,Male,960325
172,32,11,Female,1187273
173,32,12,Male,1251566
174,43,12,Male,1305274
175,27,11,Male,1159113
176,45,12,Male,1326187
177,30,12,Female,1255935
178,36,12,Male,1270306
179,24,6,Female,820921
180,34,12,Female,1265451
181,37,12,Female,1281800
182,21,2,Female,530300
183,22,1,Male,433903
184,40,12,Female,1277705
185,24,4,Male,680300
186,30,10,Female,1109518
187,32,12,Female,1283225
188,28,8,Male,979422
189,21,3,Male,578628
190,30,10,Male,1121510
191,24,7,Female,895040
192,44,12,Female,1300271
193,36,12,Male,1279331
194,39,12,Male,1304169
195,45,12,Male,1287222
196,19,0,Male,358560
197,27,6,Female,790396
198,30,9,Male,1014862
199,42,12,Male,1280882
200,38,12,Male,1266014
201,23,4,Male,649305
202,45,12,Female,1301918
203,45,12,Male,1299874
204,29,12,Female,1252969
205,29,12,Male,1229170
206,37,12,Male,1292375
207,28,10,Female,1086628
208,43,12,Male,1312008
209,40,12,Female,1294454
210,45,12,Female,1306131
211,42,12,Male,1313497
212,24,3,Female,600353
213,18,0,Female,350408
214,18,0,Female,353612
215,42,12,Female,1321842
216,44,12,Female,1296536
217,42,12,Female,1310963
218,37,12,Female,1301587
219,30,12,Female,1248735
220,26,9,Male,1041245
221,20,1,Male,435999
222,24,3,Female,608380
223,23,6,Male,776136
224,25,9,Female,997747
225,44,12,Female,1313900
226,26,10,Male,1106339
227,22,3,Female,595543
228,18,1,Female,413492
229,36,12,Female,1263634
230,27,10,Female,1098866
231,29,10,Male,1092225
232,41,12,Female,1300068
233,32,12,Female,1236695
234,44,12,Female,1317604
235,39,12,Male,1280247
236,41,12,Female,1316113
237,26,5,Male,756975
238,37,12,Male,1272389
239,34,12,Female,1252869
240,34,12,Female,1277915
241,43,12,Male,1302772
242,37,12,Female,1267300
243,29,10,Male,1100769
244,24,7,Male,888926
245,19,3,Female,568966
246,20,0,Female,350659
247,34,12,Male,1278815
248,22,1,Male,448528
249,34,12,Male,1266350
250,41,12,Male,1273522
251,34,12,Female,1254151
252,44,12,Female,1303466
253,34,12,Female,1259145
254,19,0,Female,366463
255,19,0,Female,341112
256,45,12,Male,1321487
257,39,12,Female,1302887
258,40,12,Female,1282961
259,22,3,Female,603969
260,18,0,Female,328765
261,18,0,Female,377130
262,36,12,Male,1273297
263,19,0,Male,333344
264,38,12,Male,1265029
265,29,12,Female,1261600
266,43,12,Male,1289049
267,23,5,Male,704465
268,40,12,Female,1279185
269,21,5,Female,721575
270,40,12,Female,1303307
271,28,7,Male,897458
272,41,12,Male,1306216
273,44,12,Female,1295083
274,34,12,Female,1269830
275,23,2,Male,532510
276,41,12,Male,1270975
277,22,4,Female,663564
278,37,12,Female,1282553
279,19,0,Male,335102
280,23,3,Female,576181
281,39,12,Male,1309752
282,28,9,Male,1029183
283,33,12,Male,1268050
284,33,12,Male,1244943
285,18,2,Female,497623
286,26,10,Female,1106331
287,45,12,Male,1294473
288,44,12,Male,1323247
289,23,6,Male,773777
290,33,12,Male,1254329
291,20,3,Male,598547
292,37,12,Female,1267582
293,45,12,Female,1312199
294,44,12,Female,1323626
295,21,3,Female,597414
296,36,12,Male,1252982
297,43,12,Male,1281937
298,20,1,Male,419147
299,36,12,Male,1299407
300,37,12,Male,1295448
301,24,6,Female,777921
302,37,12,Male,1275173
303,26,6,Female,822769
304,18,0,Female,341180
305,25,6,Female,825078
306,24,7,Female,897385
307,35,12,Male,1256086
308,25,6,Female,797188
309,18,2,Female,499511
310,28,8,Female,940253
311,45,12,Male,1312322
312,42,12,Male,1278432
313,42,12,Male,1282896
314,35,12,Female,1279765
315,40,12,Female,1298246
316,27,9,Male,1003845
317,20,0,Female,354474
318,24,7,Male,873605
319,45,12,Male,1310854
320,33,12,Female,1247818
321,43,12,Female,1321966
322,33,12,Female,1254484
323,42,12,Female,1305963
324,37,12,Male,1274977
325,45,12,Male,1293496
326,34,12,Male,1254512
327,19,1,Male,447943
328,18,0,Male,361803
329,33,12,Female,1288111
330,29,12,Male,1253691
331,22,2,Male,503550
332,22,1,Male,448483
333,44,12,Female,1309958
334,40,12,Female,1283157
335,26,5,Female,762732
336,26,10,Female,1084076
337,20,1,Male,452111
338,36,12,Male,1253063
339,33,12,Female,1280096
340,33,12,Female,1268568
341,20,4,Male,628305
342,37,12,Male,1288221
343,41,12,Female,1315262
344,39,12,Female,1307582
345,41,12,Female,1296684
346,18,1,Female,441771
347,41,12,Male,1274809
348,37,12,Male,1285729
349,28,10,Male,1112657
350,34,12,Female,1266634
351,25,4,Female,657080
352,21,0,Male,358038
353,23,7,Male,868074
354,25,6,Male,798977
355,37,12,Male,1278478
356,20,0,Female,340297
357,33,12,Male,1254670
358,42,12,Male,1301428
359,20,0,Male,343279
360,42,12,Male,1294612
361,35,12,Male,1288791
362,31,12,Male,1232868
363,35,12,Male,1294029
364,19,0,Female,356795
365,39,12,Female,1304247
366,20,2,Female,526337
367,33,12,Female,1264501
368,26,6,Male,804623
369,21,2,Female,510701
370,18,2,Female,485178
371,21,1,Male,415323
372,18,0,Male,357064
373,31,12,Female,1233611
374,38,12,Female,1260504
375,33,12,Male,1281919
376,37,12,Female,1296177
377,41,12,Male,1281905
378,25,6,Male,798213
379,24,6,Male,824287
380,20,1,Male,413985
381,34,12,Female,1279115
382,18,2,Male,477836
383,33,12,Male,1246010
384,29,11,Female,1153689
385,44,12,Male,1293679
386,36,12,Female,1295195
387,39,12,Female,1284136
388,40,12,Female,1279909
389,39,12,Male,1262315
390,31,12,Female,1239839
391,23,7,Female,882271
392,23,3,Male,587131
393,30,12,Female,1236565
394,36,12,Female,1259027
395,39,12,Female,1298650
396,25,4,Female,638958
397,44,12,Female,1314446
398,44,12,Male,1299379
399,19,0,Female,339977
400,38,12,Female,1274135
401,18,0,Male,360343
402,45,12,Male,1311515
403,32,12,Male,1269318
404,18,0,Female,337585
405,22,5,Male,706574
406,45,12,Female,1316440
407,33,12,Female,1288033
408,36,12,Male,1291392
409,21,5,Male,725422
410,20,1,Female,411801
411,34,12,Male,1272378
412,34,12,Female,1244707
413,29,12,Male,1264029
414,45,12,Male,1302149
415,31,12,Male,1269100
416,38,12,Female,1273012
417,23,6,Male,820915
418,20,3,Female,565875
419,45,12,Female,1320236
420,26,7,Female,886764
421,22,2,Female,517418
422,41,12,Male,1299770
423,34,12,Female,1256353
424,31,12,Female,1280595
425,38,12,Male,1265047
426,20,0,Female,383610
427,45,12,Male,1284639
428,18,0,Female,339670
429,37,12,Male,1295259
430,38,12,Female,1296230
431,40,12,Male,1276577
432,18,2,Female,472639
433,20,1,Female,443181
434,35,12,Male,1291779
435,42,12,Male,1294845
436,27,10,Male,1078800
437,39,12,Male,1281528
438,43,12,Female,1294685
439,20,0,Female,363508
440,25,6,Male,815665
441,31,12,Female,1262475
442,41,12,Male,1295340
443,35,12,Male,1264150
444,32,11,Female,1185722
445,39,12,Female,1289939
446,40,12,Female,1307539
447,19,2,Female,490240
448,44,12,Female,1286292
449,27,6,Female,813672
450,19,0,Female,337820
451,43,12,Male,1283285
452,34,12,Male,1271364
453,25,9,Male,1018925
454,18,0,Male,353222
455,26,9,Male,1021447
456,28,9,Female,1021310
457,39,12,Male,1294249
458,33,12,Male,1257746
459,24,6,Male,779716
460,27,7,Male,869725
461,40,12,Male,1296964
462,43,12,Male,1309280
463,20,4,Male,627497
464,35,12,Female,1251999
465,42,12,Female,1295657
466,41,12,Male,1286886
467,30,12,Female,1273768
468,45,12,Female,1328097
469,43,12,Female,1321172
470,24,8,Female,940736
471,42,12,Male,1273809
472,21,1,Female,422703
473,30,9,Female,1057103
474,37,12,Female,1257004
475,18,0,Male,375697
476,25,8,Male,936632
477,31,12,Male,1248693
478,33,12,Male,1252657
479,31,12,Male,1276908
480,29,11,Male,1155207
481,36,12,Male,1249689
482,40,12,Female,1276055
483,32,11,Female,1193937
484,45,12,Female,1296190
485,19,1,Male,415614
486,19,0,Male,335266
487,40,12,Male,1292381
488,39,12,Male,1269419
489,36,12,Male,1274079
490,42,12,Female,1302827
491,43,12,Female,1280606
492,39,12,Male,1309661
493,43,12,Male,1292934
494,43,12,Male,1277667
495,39,12,Male,1295506
496,34,12,Female,1252864
497,37,12,Male,1291179
498,27,10,Male,1116407
499,23,5,Male,721150
500,32,12,Male,1247355
501,39,12,Female,1270253
502,28,8,Male,944067
503,45,12,Male,1314041
504,22,4,Female,640675
505,18,0,Female,358685
506,25,5,Female,715744
507,38,12,Male,1263639
508,45,12,Male,1294451
509,29,12,Female,1254176
510,29,8,Female,969346
511,22,2,Female,503289
512,24,5,Female,721145
513,21,0,Female,339825
514,23,7,Female,893840
515,30,9,Male,1041110
516,37,12,Male,1260179
517,32,12,Male,1253025
518,20,0,Female,375241
519,40,12,Female,1293766
520,25,9,Female,1029547
521,37,12,Female,1269636
522,33,12,Female,1260563
523,30,12,Female,1240573
524,35,12,Male,1266182
525,45,12,Male,1326419
526,27,7,Female,885489
527,36,12,Male,1273240
528,34,12,Female,1284035
529,41,12,Male,1287070
530,36,12,Female,1270845
531,45,12,Female,1332031
532,43,12,Male,1302330
533,40,12,Male,1287776
534,43,12,Female,1289429
535,22,2,Female,523470
536,43,12,Male,1308598
537,38,12,Male,1263972
538,40,12,Female,1294098
539,26,6,Male,787459
540,29,8,Female,944959
541,38,12,Female,1306279
542,18,0,Female,360995
543,43,12,Female,1297740
544,43,12,Male,1286343
545,18,0,Male,334991
546,32,12,Male,1241246
547,19,0,Male,352900
548,39,12,Male,1281922
549,33,12,Male,1279146
550,42,12,Male,1294623
551,25,4,Female,641081
552,30,12,Male,1264999
553,38,12,Male,1270641
554,18,0,Female,375409
555,33,12,Male,1245271
556,24,7,Male,877693
557,22,1,Female,433891
558,39,12,Male,1272415
559,40,12,Male,1279369
560,20,3,Male,568008
561,29,8,Female,976259
562,43,12,Male,1282470
563,33,12,Male,1249416
564,36,12,Female,1249850
565,22,6,Male,770134
566,39,12,Female,1274821
567,42,12,Female,1274074
568,31,11,Male,1163733
569,45,12,Female,1290097
570,22,6,Female,813788
571,32,12,Male,1254120
572,34,12,Female,1265615
573,31,12,Female,1264152
574,37,12,Male,1300327
575,22,4,Male,644575
576,29,10,Male,1100970
577,33,12,Female,1263488
578,43,12,Male,1278247
579,43,12,Female,1315841
580,33,12,Female,1249505
581,38,12,Female,1263026
582,24,6,Female,779971
583,21,0,Female,354193
584,18,0,Female,372670
585,22,3,Female,596281
586,40,12,Male,1289798
587,43,12,Male,1307792
588,27,11,Female,1187412
589,39,12,Female,1310705
590,22,5,Male,699961
591,21,0,Female,372735
592,19,0,Male,332641
593,37,12,Male,1254885
594,27,9,Male,1028364
595,43,12,Female,1284378
596,36,12,Female,1269687
597,43,12,Male,1292094
598,18,0,Male,335756
599,41,12,Male,1278164
600,22,6,Male,813212
601,30,11,Male,1182653
602,21,4,Female,660372
603,33,12,Male,1264815
604,41,12,Female,1292629
605,33,12,Male,1261472
606,40,12,Female,1297642
607,19,0,Female,346552
608,34,12,Female,1253803
609,45,12,Female,1315688
610,44,12,Female,1329120
611,37,12,Female,1262943
612,41,12,Male,1312929
613,29,8,Female,968677
614,35,12,Male,1246473
615,20,1,Female,437384
616,45,12,Female,1299767
617,18,0,Male,357842
618,18,0,Female,349705
619,36,12,Male,1296035
620,28,8,Male,961259
621,22,5,Male,717566
622,29,11,Male,1195802
623,20,2,Female,493715
624,18,0,Female,374057
625,18,2,Male,516137
626,25,9,Female,1004012
627,27,7,Female,860433
628,28,10,Male,1089895
629,29,10,Female,1122841
630,30,12,Male,1231087
631,29,11,Male,1188186
632,31,12,Female,1250987
633,19,0,Female,357333
634,36,12,Female,1274357
635,35,12,Male,1275940
636,20,0,Male,360836
637,40,12,Female,1282747
638,34,12,Female,1285617
639,43,12,Female,1321036
640,25,7,Female,858768
641,43,12,Male,1289170
642,27,8,Female,960029
643,43,12,Male,1281373
644,19,0,Male,365382
645,36,12,Female,1289456
646,26,10,Female,1088314
647,24,8,Female,931167
648,21,0,Male,380899
649,43,12,Female,1291961
650,38,12,Female,1263536
651,35,12,Male,1252808
652,30,11,Female,1173892
653,28,8,Male,945885
654,41,12,Female,1309130
655,21,4,Male,656342
656,42,12,Female,1281298
657,38,12,Female,1269696
658,42,12,Male,1299692
659,21,1,Male,432651
660,27,10,Female,1074457
661,22,6,Male,807198
662,26,6,Male,794035
663,41,12,Male,1278899
664,20,3,Male,548957
665,34,12,Female,1244022
666,20,1,Female,417147
667,33,12,Male,1277412
668,21,2,Male,519939
669,35,12,Male,1274623
670,34,12,Male,1263511
671,24,8,Female,956326
672,41,12,Female,1310226
673,40,12,Male,1289863
674,22,2,Male,494950
675,29,10,Male,1114105
676,34,12,Female,1264488
677,40,12,Male,1311894
678,30,12,Female,1264404
679,40,12,Male,1271018
680,42,12,Female,1281704
681,20,2,Male,505904
682,26,9,Female,1042763
683,34,12,Male,1250243
684,34,12,Male,1290845
685,37,12,Male,1270199
686,33,12,Female,1262252
687,42,12,Male,1305336
688,39,12,Female,1305782
689,30,9,Female,1043002
690,44,12,Male,1290153
691,36,12,Male,1270717
692,34,12,Male,1249482
693,21,0,Female,361790
694,29,12,Male,1225698
695,26,6,Female,802669
696,36,12,Female,1264815
697,29,12,Male,1229945
698,26,6,Male,787505
699,24,6,Male,777521
700,45,12,Male,1286127
701,31,11,Male,1180578
702,37,12,Male,1262387
703,36,12,Female,1264629
704,43,12,Female,1322678
705,32,12,Female,1272965
706,33,12,Male,1244442
707,38,12,Female,1269229
708,22,5,Female,720688
709,20,0,Female,344067
710,29,10,Female,1123760
711,42,12,Female,1280648
712,37,12,Male,1302931
713,44,12,Male,1303087
714,38,12,Female,1261369
715,21,5,Female,742631
716,38,12,Female,1291638
717,40,12,Male,1282999
718,33,12,Male,1242388
719,42,12,Female,1287458
720,24,6,Male,796710
721,30,9,Male,1055895
722,38,12,Female,1278898
723,27,6,Male,812936
724,43,12,Male,1281015
725,24,8,Female,930140
726,31,10,Male,1136878
727,43,12,Male,1304305
728,22,5,Female,705908
729,20,0,Male,383480
730,40,12,Male,1275650
731,28,7,Female,877557
732,28,9,Female,1019644
733,35,12,Female,1275132
734,32,12,Male,1247610
735,29,12,Female,1227737
736,26,6,Male,819136
737,27,9,Female,1016334
738,43,12,Male,1307595
739,29,12,Female,1266716
740,34,12,Female,1291501
741,23,2,Female,538336
742,24,3,Female,570674
743,31,12,Male,1242411
744,30,12,Female,1274200
745,25,4,Female,685529
746,27,6,Male,818164
747,26,5,Female,724974
748,35,12,Male,1278526
749,44,12,Female,1306661
750,43,12,Female,1308748
751,19,0,Female,337343
752,22,5,Male,731440
753,22,5,Female,706937
754,23,6,Female,788465
755,36,12,Female,1265824
756,25,7,Male,892890
757,33,12,Male,1262473
758,30,12,Female,1232382
759,18,0,Male,348926
760,39,12,Female,1284451
761,37,12,Female,1288648
762,34,12,Female,1251341
763,24,3,Female,595458
764,42,12,Female,1282061
765,30,12,Female,1227786
766,21,2,Female,510557
767,21,3,Male,554058
768,23,6,Male,804078
769,45,12,Male,1333280
770,36,12,Male,1263207
771,29,10,Male,1125796
772,39,12,Male,1303830
773,24,8,Male,927579
774,44,12,Female,1295992
775,27,8,Female,938176
776,43,12,Female,1277984
777,36,12,Female,1256960
778,24,4,Male,654932
779,20,0,Male,365880
780,30,9,Female,1059889
781,30,10,Female,1110294
782,35,12,Male,1254996
783,45,12,Female,1304429
784,43,12,Female,1325819
785,37,12,Female,1297452
786,45,12,Female,1329555
787,25,4,Male,662648
788,26,5,Female,746844
789,24,5,Female,738380
790,18,0,Male,361967
791,20,0,Male,362235
792,30,9,Female,1020067
793,45,12,Male,1328087
794,42,12,Female,1278493
795,45,12,Female,1333146
796,34,12,Male,1284920
797,42,12,Female,1317890
798,41,12,Female,1295061
799,18,2,Female,493232
800,23,2,Female,505709
801,38,12,Male,1271687
802,23,4,Male,646136
803,43,12,Female,1300310
804,29,12,Male,1265777
805,30,12,Female,1257491
806,30,9,Female,1025952
807,32,11,Female,1192165
808,38,12,Female,1275350
809,33,12,Female,1256162
810,39,12,Male,1304239
811,38,12,Female,1288379
812,28,9,Male,1039497
813,45,12,Male,1305377
814,22,3,Female,587125
815,21,2,Female,530460
816,20,2,Female,486398
817,36,12,Female,1260685
818,37,12,Female,1299927
819,42,12,Male,1272369
820,35,12,Female,1280603
821,32,12,Female,1252105
822,26,8,Male,938446
823,34,12,Male,1284816
824,31,10,Female,1120751
825,32,11,Male,1205432
826,18,1,Female,419315
827,38,12,Male,1297317
828,39,12,Male,1263145
829,39,12,Female,1289253
830,20,2,Male,504140
831,33,12,Male,1245016
832,40,12,Male,1285907
833,42,12,Male,1301109
834,28,8,Male,976473
835,29,9,Male,1014100
836,27,11,Female,1185125
837,33,12,Female,1284846
838,25,7,Male,872153
839,23,6,Female,802649
840,29,11,Female,1176070
841,41,12,Female,1313908
842,45,12,Male,1293800
843,38,12,Female,1299724
844,25,5,Male,712770
845,43,12,Female,1305478
846,45,12,Male,1313587
847,21,4,Male,632073
848,43,12,Female,1281350
849,25,5,Female,727809
850,43,12,Male,1306459
851,45,12,Female,1289276
852,35,12,Female,1252624
853,45,12,Female,1304648
854,45,12,Male,1326524
855,22,1,Male,431691
856,26,10,Female,1087147
857,21,2,Female,518810
858,44,12,Female,1308779
859,39,12,Male,1298639
860,34,12,Male,1290032
861,26,7,Female,893547
862,18,0,Female,358254
863,38,12,Female,1273844
864,37,12,Female,1257184
865,30,12,Female,1244095
866,45,12,Female,1296073
867,33,12,Male,1269637
868,30,10,Female,1090142
869,31,12,Male,1257777
870,20,1,Female,429214
871,23,7,Female,850253
872,35,12,Male,1292456
873,36,12,Male,1254504
874,22,3,Male,560978
875,32,12,Male,1268159
876,42,12,Female,1307810
877,19,0,Male,376118
878,27,8,Female,980082
879,41,12,Male,1317746
880,35,12,Female,1248940
881,44,12,Female,1301758
882,30,12,Female,1231500
883,22,6,Female,792059
884,40,12,Female,1279762
885,41,12,Female,1302697
886,18,0,Male,343770
887,39,12,Female,1282270
888,18,1,Male,416666
889,35,12,Male,1290027
890,32,12,Female,1242746
891,34,12,Male,1286427
892,28,11,Female,1193945
893,38,12,Male,1269863
894,43,12,Female,1318032
895,42,12,Male,1316475
896,39,12,Female,1267472
897,44,12,Female,1283015
898,44,12,Female,1302136
899,34,12,Female,1275819
900,30,12,Male,1230329
901,18,0,Female,343564
902,19,3,Male,582421
903,26,7,Male,904362
904,20,4,Male,633122
905,18,0,Female,341406
906,38,12,Male,1292940
907,33,12,Male,1239026
908,40,12,Male,1268408
909,23,5,Female,724632
910,45,12,Female,1285343
911,34,12,Male,1265441
912,22,5,Female,745415
913,22,6,Female,773885
914,23,5,Male,740653
915,20,2,Male,495001
916,38,12,Female,1260864
917,40,12,Male,1289643
918,22,4,Female,644481
919,38,12,Female,1289522
920,22,1,Female,448524
921,27,9,Female,1012845
922,27,11,Female,1178245
923,36,12,Female,1262987
924,34,12,Male,1271872
925,38,12,Male,1293696
926,31,10,Female,1105139
927,26,10,Female,1114013
928,31,11,Female,1183904
929,18,0,Male,346838
930,36,12,Female,1263968
931,30,10,Male,1090549
932,30,12,Female,1264830
933,21,4,Female,660376
934,18,0,Male,348336
935,34,12,Male,1291417
936,25,6,Female,815754
937,19,0,Female,341574
938,45,12,Female,1292569
939,25,8,Male,935989
940,24,6,Male,782038
941,43,12,Male,1287321
942,43,12,Male,1316252
943,19,0,Male,372002
944,39,12,Male,1307503
945,39,12,Female,1278038
946,20,1,Female,425993
947,44,12,Male,1291481
948,35,12,Female,1280224
949,29,9,Female,1040095
950,18,2,Male,503254
951,39,12,Female,1266915
952,29,12,Male,1251241
953,22,4,Male,633943
954,44,12,Female,1302489
955,42,12,Male,1285568
956,34,12,Male,1270733
957,33,12,Male,1267239
958,32,12,Male,1236818
959,40,12,Male,1299272
960,32,12,Male,1282974
961,22,4,Male,651868
962,38,12,Male,1259118
963,31,12,Female,1262477
964,19,1,Female,440934
965,28,12,Female,1228908
966,36,12,Male,1287029
967,24,5,Male,718542
968,23,4,Female,640610
969,45,12,Female,1323300
970,19,3,Female,552484
971,23,5,Male,740834
972,35,12,Female,1253289
973,19,2,Female,508451
974,35,12,Male,1256344
975,32,12,Female,1248285
976,44,12,Male,1297218
977,36,12,Male,1285018
978,19,3,Male,581306
979,37,12,Female,1278306
980,42,12,Female,1307064
981,23,6,Male,810404
982,18,0,Female,337965
983,41,12,Female,1304439
984,32,11,Female,1191373
985,45,12,Female,1326317
986,40,12,Male,1299239
987,27,11,Female,1162400
988,36,12,Male,1268218
989,34,12,Male,1255531
990,22,3,Female,596088
991,21,0,Male,342178
992,27,6,Female,805415
993,41,12,Female,1283846
994,34,12,Male,1289839
995,27,9,Male,1012427
996,34,12,Male,1291210
997,45,12,Male,1284609
998,37,12,Female,1271375
999,41,12,Female,1288796
1000,22,1,Female,456885
